GAME-ID,DATE,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,PACE,team,home_away,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOTR,Assists,PF,ST,TO,total_TO,BL,PTS,opp_PTS,POSS,OEFF,DEFF,rest_days,EFG,OREB,FTR,TOVR,opp_EFG,opp_OREB,opp_FTR,opp_TOVR,opp_team,opp_FG,opp_FGA,opp_3P,opp_3PA,opp_FT,opp_FTA,opp_OR,opp_DR,opp_TOT,opp_A,opp_PF,opp_ST,opp_TO,opp_total_TO,opp_BL,opp_POSS,opp_OEFF,opp_DEFF,opp_rest_days,win,EFG_diff
21800566,1/4/2019,-5,217,-4,213,97.36612308,Boston,H,42,96,21,45,9,11,14,39,53,35,16,12,12,13,4,114,93,97.36612308,117.0838444,95.51576777,1,0.546875,0.269230769,0.09375,0.114195362,0.448863636,0.22,0.159090909,0.126857557,Dallas,34,88,11,44,14,19,11,38,49,16,13,9,14,14,2,97.36612308,95.51576777,117.0838444,1,1,0.098011364
21800567,1/4/2019,10,208,9.5,207.5,93.44934783,Cleveland,H,32,82,11,21,16,17,7,32,39,14,21,6,13,13,1,91,117,93.44934783,97.37895675,125.2015158,1,0.457317073,0.152173913,0.195121951,0.12685402,0.597560976,0.2,0.231707317,0.107128944,Utah,42,82,14,35,19,22,8,39,47,28,19,6,11,11,9,93.44934783,125.2015158,97.37895675,2,0,-0.140243902
21800568,1/4/2019,-7,214.5,-6.5,211.5,104.8399367,Miami,H,44,91,9,29,18,25,11,37,48,28,18,7,16,17,6,115,109,104.8399367,109.6910239,103.968014,1,0.532967033,0.261904762,0.197802198,0.142857143,0.479591837,0.212765957,0.153061224,0.101385603,Washington,42,98,10,36,15,19,10,31,41,24,18,8,10,12,2,104.8399367,103.968014,109.6910239,1,1,0.053375196
21800569,1/4/2019,6,201.5,7,201,93.73943998,Chicago,H,47,91,12,28,10,13,8,32,40,30,23,10,17,18,2,116,119,103.503965,112.0730013,114.971441,1,0.582417582,0.205128205,0.10989011,0.156903766,0.575268817,0.219512195,0.129032258,0.114557631,Indiana,49,93,9,28,12,17,9,31,40,25,17,7,13,13,3,103.503965,114.971441,112.0730013,3+,0,0.007148765
21800570,1/4/2019,-3.5,204,-4,203,101.7483333,Memphis,H,42,93,5,24,11,15,8,32,40,23,24,9,13,14,5,100,109,101.7483333,98.28170814,107.1270619,1,0.478494624,0.177777778,0.11827957,0.123239437,0.537974684,0.2,0.303797468,0.181093807,Brooklyn,36,79,13,34,24,26,8,37,45,25,19,6,20,20,2,101.7483333,107.1270619,98.28170814,1,0,-0.05948006
21800571,1/4/2019,-6,212,-4,214,100.5037755,Minnesota,H,47,91,9,26,17,23,10,44,54,29,20,6,11,11,2,120,103,100.5037755,119.3984996,102.4837122,1,0.565934066,0.25,0.186813187,0.098109169,0.528409091,0.102040816,0.113636364,0.102459016,Orlando,42,88,9,27,10,19,5,30,35,28,20,7,11,11,7,100.5037755,102.4837122,119.3984996,1,1,0.037524975
21800572,1/4/2019,-13.5,230.5,-13.5,230,112.2654535,Milwaukee,H,55,100,14,40,20,28,12,42,54,36,26,11,14,14,8,144,112,112.2654535,128.2674193,99.76354834,2,0.62,0.315789474,0.2,0.110829639,0.517647059,0.106382979,0.282352941,0.172981878,Atlanta,37,85,14,41,24,35,5,26,31,26,23,11,21,21,3,112.2654535,99.76354834,128.2674193,1,1,0.102352941
21800573,1/4/2019,4.5,233,4.5,235,96.51235294,Phoenix,H,41,77,9,19,20,27,7,18,25,24,26,13,17,17,9,111,121,96.51235294,115.0111842,125.3725521,1,0.590909091,0.205882353,0.25974026,0.160559124,0.571428571,0.470588235,0.297619048,0.169376694,LA Clippers,43,84,10,24,25,32,16,27,43,31,27,12,20,20,7,96.51235294,125.3725521,115.0111842,2,0,0.019480519
21800574,1/4/2019,-8.5,224,-5.5,222.5,108.0798214,LA Lakers,H,43,98,11,37,15,20,12,43,55,23,27,4,16,17,7,112,119,108.0798214,103.6271142,110.1038089,1,0.494897959,0.218181818,0.153061224,0.137318255,0.429292929,0.232142857,0.343434343,0.048764629,New York,37,99,11,37,34,41,13,43,56,20,20,12,6,6,4,108.0798214,110.1038089,103.6271142,2,0,0.06560503
21800575,1/4/2019,0,223.5,1,222,102.5586898,Portland,H,41,95,9,31,18,21,11,39,50,30,17,6,12,12,5,109,111,102.5586898,106.2806089,108.2307118,2,0.478947368,0.224489796,0.189473684,0.103234687,0.468085106,0.22,0.244680851,0.094469255,Oklahoma City,40,94,8,25,23,26,11,38,49,18,21,9,10,11,6,102.5586898,108.2307118,106.2806089,1,0,0.010862262
